base_player(84): __init__ [INFO] (Day 0): middle primary Planner initialized with params
one_player(79): simulate [INFO] (Day 1): True state: S, believes himself to be 100% healthy, and has a net utility of 1.20, (percentage infected = 0.01%, work risk = 0.001%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 20): True state: S, believes himself to be 100% healthy, and has a net utility of 22.05, (percentage infected = 0.04%, work risk = 0.004%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 21): True state: S, believes himself to be 93% healthy, and has a net utility of 23.25, (percentage infected = 0.04%, work risk = 0.004%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 22): True state: S, believes himself to be 100% healthy, and has a net utility of 24.29, (percentage infected = 0.05%, work risk = 0.004%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 23): True state: S, believes himself to be 100% healthy, and has a net utility of 25.49, (percentage infected = 0.05%, work risk = 0.005%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 24): True state: S, believes himself to be 98% healthy, and has a net utility of 26.69, (percentage infected = 0.06%, work risk = 0.005%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 25): True state: S, believes himself to be 91% healthy, and has a net utility of 27.87, (percentage infected = 0.06%, work risk = 0.005%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 26): True state: S, believes himself to be 93% healthy, and has a net utility of 28.86, (percentage infected = 0.07%, work risk = 0.006%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 27): True state: S, believes himself to be 100% healthy, and has a net utility of 29.92, (percentage infected = 0.07%, work risk = 0.006%, home risk = 0.000%)
one_player(79): simulate [INFO] (Day 28): True state: S, believes himself to be 94% healthy, and has a net utility of 31.12, (percentage infected = 0.08%, work risk = 0.007%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 29): True state: S, believes himself to be 100% healthy, and has a net utility of 32.20, (percentage infected = 0.08%, work risk = 0.007%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 30): True state: S, believes himself to be 96% healthy, and has a net utility of 33.40, (percentage infected = 0.09%, work risk = 0.008%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 31): True state: S, believes himself to be 100% healthy, and has a net utility of 34.53, (percentage infected = 0.10%, work risk = 0.009%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 32): True state: S, believes himself to be 100% healthy, and has a net utility of 35.73, (percentage infected = 0.10%, work risk = 0.009%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 33): True state: S, believes himself to be 100% healthy, and has a net utility of 36.93, (percentage infected = 0.11%, work risk = 0.010%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 34): True state: S, believes himself to be 100% healthy, and has a net utility of 38.13, (percentage infected = 0.12%, work risk = 0.011%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 35): True state: S, believes himself to be 91% healthy, and has a net utility of 39.33, (percentage infected = 0.13%, work risk = 0.012%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 36): True state: S, believes himself to be 100% healthy, and has a net utility of 40.34, (percentage infected = 0.14%, work risk = 0.012%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 37): True state: S, believes himself to be 100% healthy, and has a net utility of 41.54, (percentage infected = 0.15%, work risk = 0.013%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 38): True state: S, believes himself to be 93% healthy, and has a net utility of 42.74, (percentage infected = 0.17%, work risk = 0.014%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 39): True state: S, believes himself to be 88% healthy, and has a net utility of 43.78, (percentage infected = 0.18%, work risk = 0.016%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 40): True state: S, believes himself to be 95% healthy, and has a net utility of 44.71, (percentage infected = 0.19%, work risk = 0.017%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 41): True state: S, believes himself to be 100% healthy, and has a net utility of 45.81, (percentage infected = 0.21%, work risk = 0.018%, home risk = 0.001%)
one_player(79): simulate [INFO] (Day 42): True state: S, believes himself to be 100% healthy, and has a net utility of 47.01, (percentage infected = 0.22%, work risk = 0.020%, home risk = 0.002%)
one_player(79): simulate [INFO] (Day 43): True state: S, believes himself to be 100% healthy, and has a net utility of 48.21, (percentage infected = 0.24%, work risk = 0.021%, home risk = 0.002%)
one_player(79): simulate [INFO] (Day 44): True state: S, believes himself to be 100% healthy, and has a net utility of 49.41, (percentage infected = 0.26%, work risk = 0.023%, home risk = 0.002%)
one_player(79): simulate [INFO] (Day 45): True state: S, believes himself to be 100% healthy, and has a net utility of 50.61, (percentage infected = 0.28%, work risk = 0.025%, home risk = 0.002%)
one_player(79): simulate [INFO] (Day 46): True state: S, believes himself to be 100% healthy, and has a net utility of 51.81, (percentage infected = 0.30%, work risk = 0.026%, home risk = 0.002%)
one_player(79): simulate [INFO] (Day 47): True state: S, believes himself to be 92% healthy, and has a net utility of 53.01, (percentage infected = 0.33%, work risk = 0.029%, home risk = 0.002%)
one_player(79): simulate [INFO] (Day 48): True state: S, believes himself to be 90% healthy, and has a net utility of 54.04, (percentage infected = 0.35%, work risk = 0.031%, home risk = 0.002%)
one_player(79): simulate [INFO] (Day 49): True state: S, believes himself to be 100% healthy, and has a net utility of 55.02, (percentage infected = 0.38%, work risk = 0.033%, home risk = 0.003%)
one_player(79): simulate [INFO] (Day 50): True state: S, believes himself to be 100% healthy, and has a net utility of 56.22, (percentage infected = 0.41%, work risk = 0.036%, home risk = 0.003%)
one_player(79): simulate [INFO] (Day 51): True state: S, believes himself to be 100% healthy, and has a net utility of 57.42, (percentage infected = 0.44%, work risk = 0.039%, home risk = 0.003%)
one_player(79): simulate [INFO] (Day 52): True state: S, believes himself to be 88% healthy, and has a net utility of 58.62, (percentage infected = 0.48%, work risk = 0.042%, home risk = 0.003%)
one_player(79): simulate [INFO] (Day 53): True state: S, believes himself to be 99% healthy, and has a net utility of 59.57, (percentage infected = 0.51%, work risk = 0.045%, home risk = 0.003%)
one_player(79): simulate [INFO] (Day 54): True state: S, believes himself to be 91% healthy, and has a net utility of 60.75, (percentage infected = 0.55%, work risk = 0.048%, home risk = 0.004%)
one_player(79): simulate [INFO] (Day 55): True state: S, believes himself to be 100% healthy, and has a net utility of 61.76, (percentage infected = 0.60%, work risk = 0.052%, home risk = 0.004%)
one_player(79): simulate [INFO] (Day 56): True state: S, believes himself to be 100% healthy, and has a net utility of 62.96, (percentage infected = 0.64%, work risk = 0.056%, home risk = 0.004%)
one_player(79): simulate [INFO] (Day 57): True state: S, believes himself to be 100% healthy, and has a net utility of 64.16, (percentage infected = 0.69%, work risk = 0.060%, home risk = 0.005%)
one_player(79): simulate [INFO] (Day 58): True state: S, believes himself to be 97% healthy, and has a net utility of 65.36, (percentage infected = 0.75%, work risk = 0.065%, home risk = 0.005%)
one_player(79): simulate [INFO] (Day 59): True state: S, believes himself to be 91% healthy, and has a net utility of 66.51, (percentage infected = 0.80%, work risk = 0.070%, home risk = 0.005%)
one_player(79): simulate [INFO] (Day 60): True state: S, believes himself to be 100% healthy, and has a net utility of 67.51, (percentage infected = 0.87%, work risk = 0.076%, home risk = 0.006%)
one_player(79): simulate [INFO] (Day 61): True state: S, believes himself to be 100% healthy, and has a net utility of 68.71, (percentage infected = 0.93%, work risk = 0.081%, home risk = 0.006%)
one_player(79): simulate [INFO] (Day 62): True state: S, believes himself to be 95% healthy, and has a net utility of 69.91, (percentage infected = 1.01%, work risk = 0.088%, home risk = 0.007%)
one_player(79): simulate [INFO] (Day 63): True state: S, believes himself to be 95% healthy, and has a net utility of 71.00, (percentage infected = 1.08%, work risk = 0.094%, home risk = 0.007%)
one_player(79): simulate [INFO] (Day 64): True state: S, believes himself to be 93% healthy, and has a net utility of 72.09, (percentage infected = 1.17%, work risk = 0.102%, home risk = 0.008%)
one_player(79): simulate [INFO] (Day 65): True state: S, believes himself to be 98% healthy, and has a net utility of 73.13, (percentage infected = 1.26%, work risk = 0.109%, home risk = 0.008%)
one_player(79): simulate [INFO] (Day 66): True state: S, believes himself to be 100% healthy, and has a net utility of 74.30, (percentage infected = 1.35%, work risk = 0.118%, home risk = 0.009%)
one_player(79): simulate [INFO] (Day 67): True state: S, believes himself to be 97% healthy, and has a net utility of 75.50, (percentage infected = 1.45%, work risk = 0.127%, home risk = 0.010%)
one_player(79): simulate [INFO] (Day 68): True state: S, believes himself to be 100% healthy, and has a net utility of 75.50, (percentage infected = 1.56%, work risk = 0.136%, home risk = 0.010%)
one_player(79): simulate [INFO] (Day 69): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 1.68%, work risk = 0.146%, home risk = 0.011%)
one_player(79): simulate [INFO] (Day 70): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 1.81%, work risk = 0.157%, home risk = 0.012%)
one_player(79): simulate [INFO] (Day 71): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 1.94%, work risk = 0.169%, home risk = 0.013%)
one_player(79): simulate [INFO] (Day 72): True state: S, believes himself to be 97% healthy, and has a net utility of 76.70, (percentage infected = 2.09%, work risk = 0.182%, home risk = 0.014%)
one_player(79): simulate [INFO] (Day 73): True state: S, believes himself to be 94% healthy, and has a net utility of 76.70, (percentage infected = 2.24%, work risk = 0.195%, home risk = 0.015%)
one_player(79): simulate [INFO] (Day 74): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 2.41%, work risk = 0.210%, home risk = 0.016%)
one_player(79): simulate [INFO] (Day 75): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 2.58%, work risk = 0.225%, home risk = 0.017%)
one_player(79): simulate [INFO] (Day 76): True state: S, believes himself to be 93% healthy, and has a net utility of 76.70, (percentage infected = 2.77%, work risk = 0.242%, home risk = 0.019%)
one_player(79): simulate [INFO] (Day 77): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 2.98%, work risk = 0.259%, home risk = 0.020%)
one_player(79): simulate [INFO] (Day 78): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 3.19%, work risk = 0.278%, home risk = 0.021%)
one_player(79): simulate [INFO] (Day 79): True state: S, believes himself to be 99% healthy, and has a net utility of 76.70, (percentage infected = 3.42%, work risk = 0.298%, home risk = 0.023%)
one_player(79): simulate [INFO] (Day 80): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 3.66%, work risk = 0.319%, home risk = 0.025%)
one_player(79): simulate [INFO] (Day 81): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 3.92%, work risk = 0.341%, home risk = 0.026%)
one_player(79): simulate [INFO] (Day 82): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 4.19%, work risk = 0.365%, home risk = 0.028%)
one_player(79): simulate [INFO] (Day 83): True state: S, believes himself to be 98% healthy, and has a net utility of 76.70, (percentage infected = 4.49%, work risk = 0.391%, home risk = 0.030%)
one_player(79): simulate [INFO] (Day 84): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 4.79%, work risk = 0.417%, home risk = 0.032%)
one_player(79): simulate [INFO] (Day 85): True state: S, believes himself to be 90% healthy, and has a net utility of 76.70, (percentage infected = 5.12%, work risk = 0.446%, home risk = 0.034%)
one_player(79): simulate [INFO] (Day 86): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 5.46%, work risk = 0.476%, home risk = 0.037%)
one_player(79): simulate [INFO] (Day 87): True state: S, believes himself to be 96% healthy, and has a net utility of 76.70, (percentage infected = 5.82%, work risk = 0.507%, home risk = 0.039%)
one_player(79): simulate [INFO] (Day 88): True state: S, believes himself to be 92% healthy, and has a net utility of 76.70, (percentage infected = 6.20%, work risk = 0.540%, home risk = 0.042%)
one_player(79): simulate [INFO] (Day 89): True state: S, believes himself to be 91% healthy, and has a net utility of 76.70, (percentage infected = 6.60%, work risk = 0.575%, home risk = 0.044%)
one_player(79): simulate [INFO] (Day 90): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 7.02%, work risk = 0.611%, home risk = 0.047%)
one_player(79): simulate [INFO] (Day 91): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 7.46%, work risk = 0.649%, home risk = 0.050%)
one_player(79): simulate [INFO] (Day 92): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 7.91%, work risk = 0.689%, home risk = 0.053%)
one_player(79): simulate [INFO] (Day 93): True state: S, believes himself to be 99% healthy, and has a net utility of 76.70, (percentage infected = 8.39%, work risk = 0.730%, home risk = 0.056%)
one_player(79): simulate [INFO] (Day 94): True state: S, believes himself to be 95% healthy, and has a net utility of 76.70, (percentage infected = 8.88%, work risk = 0.773%, home risk = 0.059%)
one_player(79): simulate [INFO] (Day 95): True state: S, believes himself to be 88% healthy, and has a net utility of 76.70, (percentage infected = 9.39%, work risk = 0.818%, home risk = 0.063%)
one_player(79): simulate [INFO] (Day 96): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 9.92%, work risk = 0.864%, home risk = 0.066%)
one_player(79): simulate [INFO] (Day 97): True state: S, believes himself to be 87% healthy, and has a net utility of 76.70, (percentage infected = 10.46%, work risk = 0.911%, home risk = 0.070%)
one_player(79): simulate [INFO] (Day 98): True state: S, believes himself to be 98% healthy, and has a net utility of 76.70, (percentage infected = 11.02%, work risk = 0.960%, home risk = 0.074%)
one_player(79): simulate [INFO] (Day 99): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 11.59%, work risk = 1.010%, home risk = 0.078%)
one_player(79): simulate [INFO] (Day 100): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 12.17%, work risk = 1.060%, home risk = 0.082%)
one_player(79): simulate [INFO] (Day 101): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 12.77%, work risk = 1.112%, home risk = 0.086%)
one_player(79): simulate [INFO] (Day 102): True state: S, believes himself to be 91% healthy, and has a net utility of 76.70, (percentage infected = 13.36%, work risk = 1.164%, home risk = 0.090%)
one_player(79): simulate [INFO] (Day 103): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 13.97%, work risk = 1.217%, home risk = 0.094%)
one_player(79): simulate [INFO] (Day 104): True state: S, believes himself to be 96% healthy, and has a net utility of 76.70, (percentage infected = 14.57%, work risk = 1.269%, home risk = 0.098%)
one_player(79): simulate [INFO] (Day 105): True state: S, believes himself to be 95% healthy, and has a net utility of 76.70, (percentage infected = 15.18%, work risk = 1.322%, home risk = 0.102%)
one_player(79): simulate [INFO] (Day 106): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 15.78%, work risk = 1.374%, home risk = 0.106%)
one_player(79): simulate [INFO] (Day 107): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 16.38%, work risk = 1.426%, home risk = 0.110%)
one_player(79): simulate [INFO] (Day 108): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 16.96%, work risk = 1.477%, home risk = 0.114%)
one_player(79): simulate [INFO] (Day 109): True state: S, believes himself to be 95% healthy, and has a net utility of 76.70, (percentage infected = 17.53%, work risk = 1.527%, home risk = 0.117%)
one_player(79): simulate [INFO] (Day 110): True state: S, believes himself to be 88% healthy, and has a net utility of 76.70, (percentage infected = 18.09%, work risk = 1.576%, home risk = 0.121%)
one_player(79): simulate [INFO] (Day 111): True state: S, believes himself to be 94% healthy, and has a net utility of 76.70, (percentage infected = 18.63%, work risk = 1.623%, home risk = 0.125%)
one_player(79): simulate [INFO] (Day 112): True state: S, believes himself to be 94% healthy, and has a net utility of 76.70, (percentage infected = 19.14%, work risk = 1.667%, home risk = 0.128%)
one_player(79): simulate [INFO] (Day 113): True state: S, believes himself to be 95% healthy, and has a net utility of 76.70, (percentage infected = 19.63%, work risk = 1.710%, home risk = 0.132%)
one_player(79): simulate [INFO] (Day 114): True state: S, believes himself to be 95% healthy, and has a net utility of 76.70, (percentage infected = 20.10%, work risk = 1.750%, home risk = 0.135%)
one_player(79): simulate [INFO] (Day 115): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 20.53%, work risk = 1.788%, home risk = 0.138%)
one_player(79): simulate [INFO] (Day 116): True state: S, believes himself to be 93% healthy, and has a net utility of 76.70, (percentage infected = 20.93%, work risk = 1.823%, home risk = 0.140%)
one_player(79): simulate [INFO] (Day 117): True state: S, believes himself to be 89% healthy, and has a net utility of 76.70, (percentage infected = 21.29%, work risk = 1.854%, home risk = 0.143%)
one_player(79): simulate [INFO] (Day 118): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 21.62%, work risk = 1.883%, home risk = 0.145%)
one_player(79): simulate [INFO] (Day 119): True state: S, believes himself to be 93% healthy, and has a net utility of 76.70, (percentage infected = 21.90%, work risk = 1.908%, home risk = 0.147%)
one_player(79): simulate [INFO] (Day 120): True state: S, believes himself to be 97% healthy, and has a net utility of 76.70, (percentage infected = 22.15%, work risk = 1.929%, home risk = 0.148%)
one_player(79): simulate [INFO] (Day 121): True state: S, believes himself to be 95% healthy, and has a net utility of 76.70, (percentage infected = 22.36%, work risk = 1.948%, home risk = 0.150%)
one_player(79): simulate [INFO] (Day 122): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 22.53%, work risk = 1.962%, home risk = 0.151%)
one_player(79): simulate [INFO] (Day 123): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 22.65%, work risk = 1.973%, home risk = 0.152%)
one_player(79): simulate [INFO] (Day 124): True state: S, believes himself to be 87% healthy, and has a net utility of 76.70, (percentage infected = 22.74%, work risk = 1.981%, home risk = 0.152%)
one_player(79): simulate [INFO] (Day 125): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 22.79%, work risk = 1.985%, home risk = 0.153%)
one_player(79): simulate [INFO] (Day 126): True state: S, believes himself to be 99% healthy, and has a net utility of 76.70, (percentage infected = 22.79%, work risk = 1.985%, home risk = 0.153%)
one_player(79): simulate [INFO] (Day 127): True state: S, believes himself to be 90% healthy, and has a net utility of 76.70, (percentage infected = 22.76%, work risk = 1.982%, home risk = 0.152%)
one_player(79): simulate [INFO] (Day 128): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 22.69%, work risk = 1.976%, home risk = 0.152%)
one_player(79): simulate [INFO] (Day 129): True state: S, believes himself to be 88% healthy, and has a net utility of 76.70, (percentage infected = 22.58%, work risk = 1.967%, home risk = 0.151%)
one_player(79): simulate [INFO] (Day 130): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 22.44%, work risk = 1.955%, home risk = 0.150%)
one_player(79): simulate [INFO] (Day 131): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 22.27%, work risk = 1.940%, home risk = 0.149%)
one_player(79): simulate [INFO] (Day 132): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 22.07%, work risk = 1.922%, home risk = 0.148%)
one_player(79): simulate [INFO] (Day 133): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 21.84%, work risk = 1.902%, home risk = 0.146%)
one_player(79): simulate [INFO] (Day 134): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 21.58%, work risk = 1.880%, home risk = 0.145%)
one_player(79): simulate [INFO] (Day 135): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 21.30%, work risk = 1.855%, home risk = 0.143%)
one_player(79): simulate [INFO] (Day 136): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 21.00%, work risk = 1.829%, home risk = 0.141%)
one_player(79): simulate [INFO] (Day 137): True state: S, believes himself to be 99% healthy, and has a net utility of 76.70, (percentage infected = 20.67%, work risk = 1.801%, home risk = 0.139%)
one_player(79): simulate [INFO] (Day 138): True state: S, believes himself to be 97% healthy, and has a net utility of 76.70, (percentage infected = 20.33%, work risk = 1.771%, home risk = 0.136%)
one_player(79): simulate [INFO] (Day 139): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 19.98%, work risk = 1.740%, home risk = 0.134%)
one_player(79): simulate [INFO] (Day 140): True state: S, believes himself to be 94% healthy, and has a net utility of 76.70, (percentage infected = 19.60%, work risk = 1.707%, home risk = 0.131%)
one_player(79): simulate [INFO] (Day 141): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 19.22%, work risk = 1.674%, home risk = 0.129%)
one_player(79): simulate [INFO] (Day 142): True state: S, believes himself to be 92% healthy, and has a net utility of 76.70, (percentage infected = 18.83%, work risk = 1.640%, home risk = 0.126%)
one_player(79): simulate [INFO] (Day 143): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 18.42%, work risk = 1.605%, home risk = 0.123%)
one_player(79): simulate [INFO] (Day 144): True state: S, believes himself to be 88% healthy, and has a net utility of 76.70, (percentage infected = 18.01%, work risk = 1.569%, home risk = 0.121%)
one_player(79): simulate [INFO] (Day 145): True state: S, believes himself to be 99% healthy, and has a net utility of 76.70, (percentage infected = 17.60%, work risk = 1.533%, home risk = 0.118%)
one_player(79): simulate [INFO] (Day 146): True state: S, believes himself to be 93% healthy, and has a net utility of 76.70, (percentage infected = 17.18%, work risk = 1.496%, home risk = 0.115%)
one_player(79): simulate [INFO] (Day 147): True state: S, believes himself to be 92% healthy, and has a net utility of 76.70, (percentage infected = 16.76%, work risk = 1.459%, home risk = 0.112%)
one_player(79): simulate [INFO] (Day 148): True state: S, believes himself to be 93% healthy, and has a net utility of 76.70, (percentage infected = 16.33%, work risk = 1.423%, home risk = 0.109%)
one_player(79): simulate [INFO] (Day 149): True state: S, believes himself to be 97% healthy, and has a net utility of 76.70, (percentage infected = 15.91%, work risk = 1.386%, home risk = 0.107%)
one_player(79): simulate [INFO] (Day 150): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 15.49%, work risk = 1.349%, home risk = 0.104%)
one_player(79): simulate [INFO] (Day 151): True state: S, believes himself to be 95% healthy, and has a net utility of 76.70, (percentage infected = 15.07%, work risk = 1.312%, home risk = 0.101%)
one_player(79): simulate [INFO] (Day 152): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 14.65%, work risk = 1.276%, home risk = 0.098%)
one_player(79): simulate [INFO] (Day 153): True state: S, believes himself to be 88% healthy, and has a net utility of 76.70, (percentage infected = 14.23%, work risk = 1.240%, home risk = 0.095%)
one_player(79): simulate [INFO] (Day 154): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 13.82%, work risk = 1.204%, home risk = 0.093%)
one_player(79): simulate [INFO] (Day 155): True state: S, believes himself to be 92% healthy, and has a net utility of 76.70, (percentage infected = 13.42%, work risk = 1.169%, home risk = 0.090%)
one_player(79): simulate [INFO] (Day 156): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 13.02%, work risk = 1.134%, home risk = 0.087%)
one_player(79): simulate [INFO] (Day 157): True state: S, believes himself to be 89% healthy, and has a net utility of 76.70, (percentage infected = 12.62%, work risk = 1.100%, home risk = 0.085%)
one_player(79): simulate [INFO] (Day 158): True state: S, believes himself to be 92% healthy, and has a net utility of 76.70, (percentage infected = 12.24%, work risk = 1.066%, home risk = 0.082%)
one_player(79): simulate [INFO] (Day 159): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 11.86%, work risk = 1.033%, home risk = 0.079%)
one_player(79): simulate [INFO] (Day 160): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 11.48%, work risk = 1.000%, home risk = 0.077%)
one_player(79): simulate [INFO] (Day 161): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 11.12%, work risk = 0.968%, home risk = 0.074%)
one_player(79): simulate [INFO] (Day 162): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 10.76%, work risk = 0.937%, home risk = 0.072%)
one_player(79): simulate [INFO] (Day 163): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 10.41%, work risk = 0.907%, home risk = 0.070%)
one_player(79): simulate [INFO] (Day 164): True state: S, believes himself to be 100% healthy, and has a net utility of 76.70, (percentage infected = 10.07%, work risk = 0.877%, home risk = 0.067%)
